category,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,Average Score,Average Score,Average Score
scene,highway,highway,highway,pedestrians,pedestrians,pedestrians,office,office,office,PETS2006,PETS2006,PETS2006,badminton,badminton,badminton,traffic,traffic,traffic,boulevard,boulevard,boulevard,sidewalk,sidewalk,sidewalk,skating,skating,skating,blizzard,blizzard,blizzard,snowFall,snowFall,snowFall,wetSnow,wetSnow,wetSnow,boats,boats,boats,canoe,canoe,canoe,fall,fall,fall,fountain01,fountain01,fountain01,fountain02,fountain02,fountain02,overpass,overpass,overpass,abandonedBox,abandonedBox,abandonedBox,parking,parking,parking,sofa,sofa,sofa,streetLight,streetLight,streetLight,tramstop,tramstop,tramstop,winterDriveway,winterDriveway,winterDriveway,port_0_17fps,port_0_17fps,port_0_17fps,tramCrossroad_1fps,tramCrossroad_1fps,tramCrossroad_1fps,tunnelExit_0_35fps,tunnelExit_0_35fps,tunnelExit_0_35fps,turnpike_0_5fps,turnpike_0_5fps,turnpike_0_5fps,bridgeEntry,bridgeEntry,bridgeEntry,busyBoulvard,busyBoulvard,busyBoulvard,fluidHighway,fluidHighway,fluidHighway,streetCornerAtNight,streetCornerAtNight,streetCornerAtNight,tramStation,tramStation,tramStation,winterStreet,winterStreet,winterStreet,continuousPan,continuousPan,continuousPan,intermittentPan,intermittentPan,intermittentPan,twoPositionPTZCam,twoPositionPTZCam,twoPositionPTZCam,zoomInZoomOut,zoomInZoomOut,zoomInZoomOut,backdoor,backdoor,backdoor,bungalows,bungalows,bungalows,busStation,busStation,busStation,copyMachine,copyMachine,copyMachine,cubicle,cubicle,cubicle,peopleInShade,peopleInShade,peopleInShade,corridor,corridor,corridor,diningRoom,diningRoom,diningRoom,lakeSide,lakeSide,lakeSide,library,library,library,park,park,park,turbulence0,turbulence0,turbulence0,turbulence1,turbulence1,turbulence1,turbulence2,turbulence2,turbulence2,turbulence3,turbulence3,turbulence3,-,-,-
metric,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,F1-score,Recall,Prec,score
MOS-Net_fusion_net_unetvgg16_temporal_net_no_inp_selection_00011_patch_last_frames_0,0,0,0,0.9545574466518596,0.9034919104751507,0.9283229509761802,0,0,0,0,0,0,0,0,0,0.6119713131921604,0.1872619523148529,0.2867722048489801,0,0,0,0,0,0,0,0,0,0.7876749507751752,0.7934792882503309,0.7905664657976713,0,0,0,0,0,0,0.3033063782400758,0.7431410217926399,0.43078975939833775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018447941577081746,0.9997595575859581,0.03622740143759556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6484798411368505,0.456543664520747,0.5358426522597185,0,0,0,0,0,0,0,0,0,0,0,0,0.9081209579272803,0.3311718081436174,0.4853478820882366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5930363798223418,0.43404342696453296,0.5012337715371761,0,0,0,0,0,0,0,0,0,0.85924149911545,0.8345223683799394,0.8467015557634769,0,0,0,0,0,0,0,0,0,0,0,0,0.5221182846896965,0.7145890621512703,0.6033764032234193,0,0,0,0,0,0,0,0,0,0.6206954993127972,0.6398004060579039,0.5445181047330793
