category,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,Overall
scene,highway,highway,highway,pedestrians,pedestrians,pedestrians,office,office,office,PETS2006,PETS2006,PETS2006,badminton,badminton,badminton,traffic,traffic,traffic,boulevard,boulevard,boulevard,sidewalk,sidewalk,sidewalk,skating,skating,skating,blizzard,blizzard,blizzard,snowFall,snowFall,snowFall,wetSnow,wetSnow,wetSnow,boats,boats,boats,canoe,canoe,canoe,fall,fall,fall,fountain01,fountain01,fountain01,fountain02,fountain02,fountain02,overpass,overpass,overpass,abandonedBox,abandonedBox,abandonedBox,parking,parking,parking,sofa,sofa,sofa,streetLight,streetLight,streetLight,tramstop,tramstop,tramstop,winterDriveway,winterDriveway,winterDriveway,port_0_17fps,port_0_17fps,port_0_17fps,tramCrossroad_1fps,tramCrossroad_1fps,tramCrossroad_1fps,tunnelExit_0_35fps,tunnelExit_0_35fps,tunnelExit_0_35fps,turnpike_0_5fps,turnpike_0_5fps,turnpike_0_5fps,bridgeEntry,bridgeEntry,bridgeEntry,busyBoulvard,busyBoulvard,busyBoulvard,fluidHighway,fluidHighway,fluidHighway,streetCornerAtNight,streetCornerAtNight,streetCornerAtNight,tramStation,tramStation,tramStation,winterStreet,winterStreet,winterStreet,continuousPan,continuousPan,continuousPan,intermittentPan,intermittentPan,intermittentPan,twoPositionPTZCam,twoPositionPTZCam,twoPositionPTZCam,zoomInZoomOut,zoomInZoomOut,zoomInZoomOut,backdoor,backdoor,backdoor,bungalows,bungalows,bungalows,busStation,busStation,busStation,copyMachine,copyMachine,copyMachine,cubicle,cubicle,cubicle,peopleInShade,peopleInShade,peopleInShade,corridor,corridor,corridor,diningRoom,diningRoom,diningRoom,lakeSide,lakeSide,lakeSide,library,library,library,park,park,park,turbulence0,turbulence0,turbulence0,turbulence1,turbulence1,turbulence1,turbulence2,turbulence2,turbulence2,turbulence3,turbulence3,turbulence3,
metric,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,F-score
MOS-Net_fusion_net_unetvgg16_temporal_net_avfeat_inp_selection_00011,0,0,0,0.020523881,0.932581124,0.95545355,0,0,0,0,0,0,0,0,0,0.100809528,0.731777422,0.720621617,0,0,0,0,0,0,0,0,0,0.145400401,0.978779951,0.912484219,0,0,0,0,0,0,0.365247804,0.9274247,0.711939689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389374528,0.986415214,0.754307966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044032336,0.985019353,0.970276093,0,0,0,0,0,0,0,0,0,0,0,0,0.069776615,0.67044262,0.779252388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229354014,0.931027524,0.843278831,0,0,0,0,0,0,0,0,0,0.073177178,0.864620431,0.894641733,0,0,0,0,0,0,0,0,0,0,0,0,0.159257618,0.954965006,0.894220917,0,0,0,0,0,0,0,0,0,0.83
