category,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,cameraJitter,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,badWeather,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,dynamicBackground,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,intermittentObjectMotion,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,lowFramerate,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,nightVideos,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,shadow,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence,turbulence
scene,highway,highway,highway,pedestrians,pedestrians,pedestrians,office,office,office,PETS2006,PETS2006,PETS2006,badminton,badminton,badminton,traffic,traffic,traffic,boulevard,boulevard,boulevard,sidewalk,sidewalk,sidewalk,skating,skating,skating,blizzard,blizzard,blizzard,snowFall,snowFall,snowFall,wetSnow,wetSnow,wetSnow,boats,boats,boats,canoe,canoe,canoe,fall,fall,fall,fountain01,fountain01,fountain01,fountain02,fountain02,fountain02,overpass,overpass,overpass,abandonedBox,abandonedBox,abandonedBox,parking,parking,parking,sofa,sofa,sofa,streetLight,streetLight,streetLight,tramstop,tramstop,tramstop,winterDriveway,winterDriveway,winterDriveway,port_0_17fps,port_0_17fps,port_0_17fps,tramCrossroad_1fps,tramCrossroad_1fps,tramCrossroad_1fps,tunnelExit_0_35fps,tunnelExit_0_35fps,tunnelExit_0_35fps,turnpike_0_5fps,turnpike_0_5fps,turnpike_0_5fps,bridgeEntry,bridgeEntry,bridgeEntry,busyBoulvard,busyBoulvard,busyBoulvard,fluidHighway,fluidHighway,fluidHighway,streetCornerAtNight,streetCornerAtNight,streetCornerAtNight,tramStation,tramStation,tramStation,winterStreet,winterStreet,winterStreet,continuousPan,continuousPan,continuousPan,intermittentPan,intermittentPan,intermittentPan,twoPositionPTZCam,twoPositionPTZCam,twoPositionPTZCam,zoomInZoomOut,zoomInZoomOut,zoomInZoomOut,backdoor,backdoor,backdoor,bungalows,bungalows,bungalows,busStation,busStation,busStation,copyMachine,copyMachine,copyMachine,cubicle,cubicle,cubicle,peopleInShade,peopleInShade,peopleInShade,corridor,corridor,corridor,diningRoom,diningRoom,diningRoom,lakeSide,lakeSide,lakeSide,library,library,library,park,park,park,turbulence0,turbulence0,turbulence0,turbulence1,turbulence1,turbulence1,turbulence2,turbulence2,turbulence2,turbulence3,turbulence3,turbulence3
metric,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score,FNR,Prec,F-score
BSUV-Net 2.0_network_original,0.006056923670613168,0.9991792931500733,0.9965543065954141,0,0,0,0,0,0,0,0,0,0.03573189890549433,0.8955291319313762,0.9286283044064104,0,0,0,0,0,0,0,0,0,0,0,0,0.19565299170585881,0.9962133624648496,0.8900576184329503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10082685075857667,0.9705111579869096,0.9334811988604425,0.009583066677370966,0.9887022584957679,0.9895588531268097,0,0,0,0,0,0,0.1271009866013717,0.9870785443368001,0.9264841760215559,0,0,0,0,0,0,0,0,0,0.6740639387587937,0.44892982543493787,0.37767159863916305,0,0,0,0,0,0,0,0,0,0.7358087724089245,0.8169921341036106,0.39927021167393223,0.723386828671098,0.8686516813432711,0.41960686350570164,0,0,0,0,0,0,0,0,0,0,0,0,0.1849467268711461,0.2729484609974393,0.4089470256407194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078550951929061,0.9821393166709966,0.9705415476057256,0,0,0,0,0,0,0.045206940568091714,0.906689588488904,0.9301197914633537,0,0,0,0.30481065841986366,0.9233661814614122,0.7931940777925922,0,0,0,0,0,0,0.09765384163083779,0.9658018122854909,0.9329962816129527,0,0,0,0,0,0,0,0,0
BSUV-Net 2.0_network_original,0,0,0,0.01712538228702931,0.9930620193599257,0.9879420567752234,0,0,0,0,0,0,0,0,0,0.05176140691947462,0.995158423588195,0.9711321108159977,0,0,0,0,0,0,0.022379213016933575,0.9936090028708264,0.9855500564569241,0,0,0,0,0,0,0,0,0,0.010590460305218485,0.9989449546140882,0.9941543829876216,0,0,0,0,0,0,0.11568215789514968,0.8852298686422662,0.8847736203438951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1290817372754105,0.9702822352566144,0.9179190637942666,0,0,0,0.030633965488051307,0.9810054826606671,0.9751510275742894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11844847442424766,0.9557760162938058,0.9171645077667245,0.09878158031116357,0.9687305492171012,0.9337557646618859,0,0,0,0.05481649796948074,0.94143137081927,0.9433037052742426,0,0,0,0,0,0,0,0,0,0,0,0,0.04373153084803427,0.995374335795692,0.9754296123362893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014843623677461282,0.9767453129383606,0.9809328146782763,0,0,0,0,0,0,0.19594481805601172,0.9583121241984494,0.8744327322640858,0,0,0,0,0,0
BSUV-Net 2.0_network_original,0,0,0,0,0,0,0.005290926241545035,0.9983528608030545,0.9965276364299176,0,0,0,0,0,0,0,0,0,0.00945306348263264,0.996753476168132,0.9936405145180536,0,0,0,0,0,0,0,0,0,0,0,0,0.13200607991875302,0.9456702312340224,0.9051687000789953,0,0,0,0.014071605638983353,0.9974098498903942,0.991635889311924,0,0,0,0,0,0,0,0,0,0,0,0,0.01605111017678562,0.9889076568383561,0.986422041410286,0.03648768004667968,0.9996182025492384,0.9812332316834317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04418896395929017,0.9879098367989396,0.9715953950179153,0,0,0,0,0,0,0,0,0,0.31983870926656965,0.9468584818318402,0.7916517033216386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031717658202984333,0.9915235025706485,0.9797651147689654,0,0,0,0,0,0,0,0,0,0,0,0,0.013446719109501015,0.9951748259891091,0.9908452993434097,0.005865357106024649,0.998721894932985,0.9964229893359315,0,0,0,0.04712020307709863,0.9893103280128083,0.9707533905639426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03175598061823748,0.972806652370711,0.9705199734145312,0,0,0
BSUV-Net 2.0_network_original,0,0,0,0,0,0,0,0,0,0.03553819274056291,0.9494095458543323,0.9568764848632949,0,0,0,0,0,0,0,0,0,0.025205005852995566,0.9950497401088549,0.9848182333536162,0,0,0,0,0,0,0.05008418478555787,0.9946269174505132,0.9717573424878012,0,0,0,0,0,0,0,0,0,0.03270628474461856,0.9671237915170722,0.9672087459229785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011120173052490578,0.9995268008625658,0.9941748091585833,0.025237536876534516,0.9958988023613202,0.9852172837756774,0,0,0,0,0,0,0,0,0,0,0,0,0.0116321352886809,0.9956877170707591,0.992014288185002,0,0,0,0,0,0,0,0,0,0.15469290278869774,0.9588849991844006,0.8985210575296233,0,0,0,0,0,0,0,0,0,0,0,0,0.03434392087165361,0.9862815357508182,0.9758598363695946,0,0,0,0.01028229990413565,0.995994565099262,0.9928462119673286,0.0030532589574215896,0.9993278026586606,0.9981358518419244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04958113257778829,0.9645759839991018,0.9574450955569692,0,0,0,0,0,0,0,0,0,0.05893700951590941,0.9699038954807964,0.9552658050403268
